field_1,Village,District,Date_Completed,Depth_of_overburden,Total_Depth,Depth_drilled_in_bedrock,BH Depth_1,BH Depth_2,BH Depth_3,BH Depth_4,Yield_L/s_1,Yield_L/s_2,Yield_L/s_3,Yield_L/s_4,Lithology_1,Lithology_2,Static_Water_Level,Stabilized_discharge(L/s),Grid_E,Grid_N,Altitude_(m),Date_Lab,Ph,Electrical Conductivity (EC),Total dissolved solids,Turbidity,Colour,Alkalinity,Hardness,Chloride,Nitrate,Nitrite,Iron,Copper,Flouride,Sulphate,E.coli,Number,Suspended solids (total),Manganese,Total Coliforms,geometry
0,CHINESE CAMP,MOROTO,4/21/2021,10,60,50,20-25,40-45,,,,0.416667,,,Granite,Granite,26.7,0.555555556,698126,263606,1450,4/27/2021,7.0,1.72,590.0,2.92,0.0,490.0,499.0,12.0,0.03,0.01,0.02,0.0,0.0,10.0,0.0,89202,,,,POINT (698126 263606)
2,NGONGOSOON,AMUDAT,5/20/2021,5,75,70,50-55,55-60,,,,0.3333336,,,Granite,Granite,18.1,0.5,710486,223460,1271,6/21/2021,7.3,2.01,903.0,2.72,0.0,488.0,311.0,12.0,0.0,0.03,0.0,0.064,0.0,5.0,0.0,89206,,,,POINT (710486 223460)
3,AKUKUS,AMUDAT,5/30/2021,5,65,60,30-35,40-45,,,,0.833334,,,Granite,Granite,24.96,1.666666667,709802,221315,1271,6/22/2021,7.0,1.09,674.0,3.09,0.0,500.0,498.0,13.0,0.02,0.01,0.06,0.0,0.0,10.0,0.0,89207,,,,POINT (709802 221315)
4,AWAROBU,MOROTO,6/13/2021,5,75,70,30-35,50-56,55-60,,,,1.111112,,Granite,Granite,14.8,1.666666667,684214,275775,1337,7/27/2021,7.1,1.73,803.0,1.81,0.0,460.0,334.0,10.0,0.06,0.01,0.0,0.038,0.0,20.0,2.0,89208,,,,POINT (684214 275775)
5,LOTIRIR,MOROTO,6/17/2021,5,90,85,80-85,,,,0.1666668,,,,Granite,Granite,46.78,0.277777778,677734,273420,1284,7/22/2021,8.0,0.08,931.0,2.62,0.0,620.0,500.0,10.0,0.04,0.0,0.0,0.0,0.0,10.0,8.0,89209,,,,POINT (677734 273420)
6,NADWARAMUKUNY,KAABONG,4/28/2021,10,60,50,30-35,35-40,45-50,,,,2.77778,,Granite,Granite,23.2,4.444444444,622973,380215,1470,8/25/2021,7.3,1.07,688.0,2.03,0.0,630.0,510.0,13.0,0.0,0.07,0.01,0.074,0.0,25.0,0.0,89203,,,,POINT (622973 380215)
7,Chongoro,Moroto,4/5/2022,12,66,54,38,52,,,0.555556,0.4444448,,,Weathered rock,Granite,21.5,1.611111111,675533,267295,1258,28/07/2022,6.5,1.12,764.0,0.3,0.0,456.0,375.0,7.0,2.0,0.0,0.12,0.065,0.0,100.0,0.0,89245,,,,POINT (675533 267295)
8,Lorikitae,Napak, 5/8/2022,6,60,54,,,,,,,,,,,,0.555555556,645548,244770,1241,6/19/2022,7.1,1.85,488.0,3.66,0.0,433.0,410.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,89246,,,,POINT (645548 244770)
9,Lolet-Angachin,Napak,5/10/2022,6,66,60,,,,,,,,,,,,1.166666667,636927,236064,1208,6/7/2022,6.9,1.85,644.0,2.7,0.0,388.0,431.0,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,89247,,,,POINT (636927 236064)
10,Napiananya,Napak,5/15/2022,12,48,36,18-24,30-36,,,0.555556,0.4444448,,,Weathered rock,Granite,,5,637520,228177,1192,6/20/2022,6.8,0.95,566.0,0.55,0.0,465.0,311.0,0.0,0.01,0.03,0.11,0.0,0.0,0.0,0.0,89249,,,,POINT (637520 228177)
11,Kaurikakine,Napak,5/12/2022,12,66,54,,,,,,,,,,,,1.166666667,634528,241072,1149,6/23/2022,6.8,2.21,388.0,1.45,0.0,264.0,444.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,89248,,,,POINT (634528 241072)
12,Lokaala,Nabilatuk,6/6/2022,12,72,60,30,39-40,45-46,58-60,0.6388894,1.6111124,0.96388966,1.04444528,Quartizite,Quartizite,,3.5,673639,225295,1170,14/06/2022,6.8,0.44,308.0,0.39,0.0,480.0,192.0,0.0,5.6,0.22,0.04,0.3,0.0,0.0,0.0,89253,,,,POINT (673639 225295)
13,Nayonai-Angikalio,Nabilatuk, 6/3/2022,12,84,78,,,,,,,,,,,,1.416666667,669261,226763,1144,6/11/2022,6.5,1.8,1316.0,1.25,0.0,480.0,792.0,0.0,2.8,0.06,0.04,0.8,0.0,200.0,3.0,89252,,,,POINT (669261 226763)
14,Katilemun,Napak,5/25/2022,12,60,48,,,,,,,,,,,,0.694444444,650348,264273,1180,6/3/2022,6.9,2.8,388.0,1.65,0.0,362.0,334.0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,89251,,,,POINT (650348 264273)
15,Katuberot,Napak,5/22/2022,6,90,90,,,,,,,,,,,,0.555555556,646832,262340,1158,6/6/2022,6.9,3.1,659.0,1.15,0.0,428.0,345.0,0.0,0.14,0.02,0.0,0.0,0.0,0.0,0.0,89250,,,,POINT (646832 262340)
