Village,District,Date_Completed,Depth_of_overburden,Total_Depth,Depth_drilled_in_bedrock,BH Depth_1,BH Depth_2,BH Depth_3,BH Depth_4,Yield_L/s_1,Yield_L/s_2,Yield_L/s_3,Yield_L/s_4,Lithology_1,Lithology_2,Static_Water_Level,Stabilized_discharge(L/s),Altitude_(m),Date_Lab,Ph,Electrical Conductivity (EC),Total dissolved solids,Turbidity,Colour,Alkalinity,Hardness,Chloride,Nitrate,Nitrite,Iron,Copper,Flouride,Sulphate,E.coli,Number,Suspended solids (total),Manganese,Total Coliforms,Nitrate_below_threshold,Nitrate_above_threshold,Ecoli_below_threshold,Ecoli_above_threshold,lat,long
CHINESE CAMP,Moroto,4/21/2021,10,60.0,50,20-25,40-45,,,,0.416667,,,Granite,Granite,26.7,0.555555556,1450.0,4/27/2021,7.0,1.72,590.0,2.92,0.0,490.0,499.0,12.0,0.03,0.01,0.02,0.0,0.0,10.0,0.0,89202.0,,,,0.03,,0.0,,2.3837528551302727,34.78175191668889
NGONGOSOON,Amudat,5/20/2021,5,75.0,70,50-55,55-60,,,,0.3333336,,,Granite,Granite,18.1,0.5,1271.0,6/21/2021,7.3,2.01,903.0,2.72,0.0,488.0,311.0,12.0,0.0,0.03,0.0,0.064,0.0,5.0,0.0,89206.0,,,,0.0,,0.0,,2.020595154965658,34.89240792882837
AKUKUS,Amudat,5/30/2021,5,65.0,60,30-35,40-45,,,,0.833334,,,Granite,Granite,24.96,1.666666667,1271.0,6/22/2021,7.0,1.09,674.0,3.09,0.0,500.0,498.0,13.0,0.02,0.01,0.06,0.0,0.0,10.0,0.0,89207.0,,,,0.02,,0.0,,2.0012066867425653,34.886238282934585
AWAROBU,Moroto,6/13/2021,5,75.0,70,30-35,50-56,55-60,,,,1.111112,,Granite,Granite,14.8,1.666666667,1337.0,7/27/2021,7.1,1.73,803.0,1.81,0.0,460.0,334.0,10.0,0.06,0.01,0.0,0.038,0.0,20.0,2.0,89208.0,,,,0.06,,,2.0,2.4939583440078903,34.656812121077884
LOTIRIR,Moroto,6/17/2021,5,90.0,85,80-85,,,,0.1666668,,,,Granite,Granite,46.78,0.277777778,1284.0,7/22/2021,8.0,0.08,931.0,2.62,0.0,620.0,500.0,10.0,0.04,0.0,0.0,0.0,0.0,10.0,8.0,89209.0,,,,0.04,,,8.0,2.472733131443958,34.59852122842875
NADWARAMUKUNY,Kaabong,4/28/2021,10,60.0,50,30-35,35-40,45-50,,,,2.77778,,Granite,Granite,23.2,4.444444444,1470.0,8/25/2021,7.3,1.07,688.0,2.03,0.0,630.0,510.0,13.0,0.0,0.07,0.01,0.074,0.0,25.0,0.0,89203.0,,,,0.0,,0.0,,3.4392380763598354,34.107039066352975
Chongoro,Moroto,4/5/2022,12,66.0,54,38,52,,,0.555556,0.4444448,,,Weathered rock,Granite,21.5,1.611111111,1258.0,28/07/2022,6.5,1.12,764.0,0.3,0.0,456.0,375.0,7.0,2.0,0.0,0.12,0.065,0.0,100.0,0.0,89245.0,,,,2.0,,0.0,,2.417364340287461,34.578665993363344
Lorikitae,Napak, 5/8/2022,6,60.0,54,,,,,,,,,,,,0.555555556,1241.0,6/19/2022,7.1,1.85,488.0,3.66,0.0,433.0,410.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,89246.0,,,,0.1,,0.0,,2.2139188072160687,34.3088593889375
Lolet-Angachin,Napak,5/10/2022,6,66.0,60,,,,,,,,,,,,1.166666667,1208.0,6/7/2022,6.9,1.85,644.0,2.7,0.0,388.0,431.0,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,89247.0,,,,0.2,,0.0,,2.13523912971264,34.23128249219193
Napiananya,Napak,5/15/2022,12,48.0,36,18-24,30-36,,,0.555556,0.4444448,,,Weathered rock,Granite,,5.0,1192.0,6/20/2022,6.8,0.95,566.0,0.55,0.0,465.0,311.0,0.0,0.01,0.03,0.11,0.0,0.0,0.0,0.0,89249.0,,,,0.01,,0.0,,2.0638963536499086,34.23655798976826
Kaurikakine,Napak,5/12/2022,12,66.0,54,,,,,,,,,,,,1.166666667,1149.0,6/23/2022,6.8,2.21,388.0,1.45,0.0,264.0,444.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,89248.0,,,,0.3,,0.0,,2.1805544897577365,34.20974913551592
Lokaala,Nabilatuk,6/6/2022,12,72.0,60,30,39-40,45-46,58-60,0.6388894,1.6111124,0.96388966,1.04444528,Quartizite,Quartizite,,3.5,1170.0,14/06/2022,6.8,0.44,308.0,0.39,0.0,480.0,192.0,0.0,5.6,0.22,0.04,0.3,0.0,0.0,0.0,89253.0,,,,5.6,,0.0,,2.0375447881473923,34.5612364303723
Nayonai-Angikalio,Nabilatuk, 6/3/2022,12,84.0,78,,,,,,,,,,,,1.416666667,1144.0,6/11/2022,6.5,1.8,1316.0,1.25,0.0,480.0,792.0,0.0,2.8,0.06,0.04,0.8,0.0,200.0,3.0,89252.0,,,,2.8,,,3.0,2.050859244021069,34.52189457587813
Katilemun,Napak,5/25/2022,12,60.0,48,,,,,,,,,,,,0.694444444,1180.0,6/3/2022,6.9,2.8,388.0,1.65,0.0,362.0,334.0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,89251.0,,,,0.02,,0.0,,2.3902772965882737,34.35218232381159
Katuberot,Napak,5/22/2022,6,90.0,90,,,,,,,,,,,,0.555555556,1158.0,6/6/2022,6.9,3.1,659.0,1.15,0.0,428.0,345.0,0.0,0.14,0.02,0.0,0.0,0.0,0.0,0.0,89250.0,,,,0.14,,0.0,,2.372824759136544,34.32054959683648
Natopojo,Moroto,8/7/2022,12,60.0,48,30-36,48-54,,,0.2222224,0.416667,,,Granite,Granite,12.1,0.833333333,1313.0,15/07/2022,6.8,1.48,1030.0,0.38,0.0,,375.0,5.0,0.0,0.0,0.12,,0.0,5.0,0.0,89254.0,,,0.0,0.0,,0.0,,2.54472801613427,34.64248939161322
Aoyareng,Nakapiripirit,6/7/2022,6,84.0,78,18-24,24-30,,,0.138889,0.0555556,,,Quartizite,Granite,20.46,1.611111111,1096.0,23/07/2022,7.5,0.12,864.0,3.3,0.0,356.0,475.0,12.0,1.03,0.0,0.03,0.075,,,0.0,89256.0,,,,1.03,,0.0,,1.8787357997610252,34.48829279409732
Kochamaluk,Napak,8/7/2022,6,60.0,54,24-30,30-36,,,0.2222224,0.277778,,,Granite,Granite,21.62,1.111111111,1261.0,20/09/2022,7.2,1.16,525.0,4.74,0.0,,422.0,0.0,0.06,0.0,0.03,,0.0,0.0,0.0,89257.0,,,0.0,0.06,,0.0,,2.1705035987563055,34.33979478830676
Aoyareng,Nakapiripirit,7/7/2022,6,84.0,78,27-28,30-33,39-41,55-56,0.1944446,0.2500002,0.17222236,0.11388898,Granite,Granite,,0.833333333,1094.0,24/07/2022,6.9,1.22,773.0,0.84,0.0,477.0,388.0,3.0,0.0,0.0,0.16,0.05,0.0,2.0,0.0,89255.0,,,,0.0,,0.0,,1.8776328376335427,34.48779749333959
Loopong,Moroto,1/8/2022,6,60.0,54,36-42,42-48,48-54,,0.5000004,0.4444448,0.1666668,,Granite,Granite,26.78,1.805555556,1370.0,4/10/2022,7.5,1.7,616.0,47.1,0.0,,572.0,28.0,30.0,0.03,1.0,,0.0,,30.0,89260.0,1225.0,,0.0,,30.0,,30.0,2.4273079784166307,34.68659768056233
